#num,date,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,name
117,2020-06-16,2182950,0,889866,118283,0,0,12300,,11820,122,,,0.0,美国
118,2020-06-17,2208400,0,903041,119132,0,0,25450,,13175,849,,,0.0,美国
119,2020-06-18,2234471,0,918796,119941,0,0,26071,,15755,809,,,0.0,美国
120,2020-06-19,2263651,0,930994,120688,0,0,29180,,12198,747,,,0.0,美国
121,2020-06-20,2297190,0,956061,121407,0,0,33539,,25067,719,,,0.0,美国
122,2020-06-21,2330578,0,972941,121980,0,0,33388,,16880,573,,,0.0,美国
123,2020-06-22,2356657,0,980355,122247,0,0,26079,,7414,267,,,0.0,美国
124,2020-06-23,2388153,0,1002929,122610,0,0,31496,,22574,363,,,0.0,美国
125,2020-06-24,2424168,0,1020381,123473,0,0,36015,,17452,863,,,0.0,美国
126,2020-06-25,2463271,0,1040605,124281,0,0,39103,,20224,808,,,0.0,美国
127,2020-06-26,2504588,0,1052293,126780,0,0,41317,,11688,2499,,,0.0,美国
128,2020-06-27,2552956,0,1068703,127640,0,0,48368,,16410,860,,,0.0,美国
129,2020-06-28,2596537,0,1081437,128152,0,0,43581,,12734,512,,,0.0,美国
130,2020-06-29,2637077,0,1093456,128437,0,0,40540,,12019,285,,,0.0,美国
131,2020-06-30,2681811,0,1117177,128783,0,0,44734,,23721,346,,,0.0,美国
132,2020-07-01,2727853,0,1143334,130122,0,0,46042,,26157,1339,,,0.0,美国
133,2020-07-02,2779953,0,1164680,130798,0,0,52100,,21346,676,,,0.0,美国
134,2020-07-03,2837189,0,1191091,131485,0,0,57236,,26411,687,,,0.0,美国
135,2020-07-06,2982928,0,1289564,132569,0,0,145739,,98473,1084,,,0.0,美国
136,2020-07-07,3040833,0,1324947,132979,0,0,57905,,35383,410,,,0.0,美国
137,2020-07-08,3097084,0,1354863,133972,0,0,56251,,29916,993,,,0.0,美国
138,2020-07-09,3158932,0,1392679,134862,0,0,61848,,37816,890,,,0.0,美国
139,2020-07-10,3219999,0,1426428,135822,0,0,61067,,33749,960,,,0.0,美国
140,2020-07-11,3291786,0,1460495,136671,0,0,71787,,34067,849,,,0.0,美国
141,2020-07-12,3355646,0,1490446,137403,0,0,63860,,29951,732,,,0.0,美国
142,2020-07-13,3413995,0,1517084,137782,0,0,58349,,26638,379,,,0.0,美国
143,2020-07-14,3479483,0,1549469,138247,0,0,65488,,32385,465,,,0.0,美国
144,2020-07-15,3545077,0,1600195,139143,0,0,65594,,50726,896,,,0.0,美国
145,2020-07-16,3616747,0,1645962,140140,0,0,71670,,45767,997,,,0.0,美国
146,2020-07-17,3695025,0,1679633,141118,0,0,78278,,33671,978,,,0.0,美国
147,2020-07-18,3770012,0,1741233,142064,0,0,74987,,61600,946,,,0.0,美国
148,2020-07-19,3833271,0,1775219,142877,0,0,63259,,33986,813,,,0.0,美国
149,2020-07-20,3898550,0,1802338,143289,0,0,65279,,27119,412,,,0.0,美国
150,2020-07-21,3961429,0,1849989,143834,0,0,62879,,47651,545,,,0.0,美国
151,2020-07-22,4028569,0,1886583,144953,0,0,67140,,36594,1119,,,0.0,美国
152,2020-07-23,4100875,0,1942637,146183,0,0,72306,,56054,1230,,,0.0,美国
153,2020-07-24,4169991,0,1979617,147333,0,0,69116,,36980,1150,,,0.0,美国
154,2020-07-25,4248327,0,2028074,148490,0,0,78336,,48457,1157,,,0.0,美国
155,2020-07-26,4315709,0,2061692,149398,0,0,67382,,33618,908,,,0.0,美国
156,2020-07-27,4371839,0,2090129,149849,0,0,56130,,28437,451,,,0.0,美国
157,2020-07-28,4433410,0,2136603,150444,0,0,61571,,46474,595,,,0.0,美国
158,2020-07-29,4498343,0,2185894,152320,0,0,64933,,49291,1876,,,0.0,美国
159,2020-07-30,4501116,0,2186267,152355,0,0,2773,,373,35,,,0.0,美国
160,2020-07-31,4634985,0,2284965,155285,0,0,133869,,98698,2930,,,0.0,美国
161,2020-08-01,4705889,0,2327572,156747,0,0,70904,,42607,1462,,,0.0,美国
162,2020-08-02,4764318,0,2362903,157898,0,0,58429,,35331,1151,,,0.0,美国
163,2020-08-03,4813647,0,2380217,158365,0,0,49329,,17314,467,,,0.0,美国
164,2020-08-04,4862174,0,2446798,158929,0,0,48527,,66581,564,,,0.0,美国
165,2020-08-05,4918420,0,2481680,160290,0,0,56246,,34882,1361,,,0.0,美国
166,2020-08-06,4973568,0,2540137,161601,0,0,55148,,58457,1311,,,0.0,美国
167,2020-08-07,5032179,0,2576668,162804,0,0,58611,,36531,1203,,,0.0,美国
168,2020-08-08,5095524,0,2616967,164094,0,0,63345,,40299,1290,,,0.0,美国
169,2020-08-09,5149723,0,2638470,165070,0,0,54199,,21503,976,,,0.0,美国
170,2020-08-10,5199444,0,2664701,165617,0,0,49721,,26231,547,,,0.0,美国
171,2020-08-11,5251446,0,2715934,166192,0,0,52002,,51233,575,,,0.0,美国
172,2020-08-12,5305957,0,2755348,167749,0,0,54511,,39414,1557,,,0.0,美国
173,2020-08-13,5360302,0,2812603,169131,0,0,54345,,57255,1382,,,0.0,美国
174,2020-08-14,5415666,0,2843204,170415,0,0,55364,,30601,1284,,,0.0,美国
175,2020-08-15,5476266,0,2875147,171535,0,0,60600,,31943,1120,,,0.0,美国
176,2020-08-16,5529789,0,2900188,172606,0,0,53523,,25041,1071,,,0.0,美国
177,2020-08-17,5566632,0,2922724,173128,0,0,36843,,22536,522,,,0.0,美国
178,2020-08-18,5612027,0,2973587,173716,0,0,45395,,50863,588,,,0.0,美国
179,2020-08-19,5655974,0,3011098,175074,0,0,43947,,37511,1358,,,0.0,美国
180,2020-08-20,5700931,0,3062331,176337,0,0,44957,,51233,1263,,,0.0,美国
181,2020-08-21,5746272,0,3095484,177424,0,0,45341,,33153,1087,,,0.0,美国
182,2020-08-22,5796727,0,3127418,179200,0,0,50455,,31934,1776,,,0.0,美国
183,2020-08-23,5841428,0,3148080,180174,0,0,44701,,20662,974,,,0.0,美国
184,2020-08-24,5874146,0,3167063,180604,0,0,32718,,18983,430,,,0.0,美国
185,2020-08-25,5915630,0,3217981,181114,0,0,41484,,50918,510,,,0.0,美国
186,2020-08-26,5955728,0,3254282,182404,0,0,40098,,36301,1290,,,0.0,美国
187,2020-08-27,6000365,0,3313861,183653,0,0,44637,,59579,1249,,,0.0,美国
188,2020-08-28,6046634,0,3347940,184796,0,0,46269,,34079,1143,,,0.0,美国
